2015-11-16 12:03:27,166 [Dummy-1:9964] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2015-11-16 12:03:27,190 [Dummy-1:9964] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2015-11-16 12:03:27,192 [Dummy-1:9964] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
2015-11-16 12:03:27,193 [Dummy-1:9964] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE TABLE `django_migrations` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `app` varchar(255) NOT NULL, `name` varchar(255) NOT NULL, `applied` datetime NOT NULL); (params None)
2015-11-16 12:03:27,407 [Dummy-1:9964] [django.db.backends:89] [utils:execute] [DEBUG]- (0.214) CREATE TABLE `django_migrations` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `app` varchar(255) NOT NULL, `name` varchar(255) NOT NULL, `applied` datetime NOT NULL); args=None
2015-11-16 12:03:27,408 [Dummy-1:9964] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'django_migrations'; args=['django_migrations']
2015-11-16 12:03:27,412 [Dummy-1:9964] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2015-11-16 14:26:47,448 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2015-11-16 14:26:47,457 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2015-11-16 14:26:47,457 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
2015-11-16 14:26:47,459 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2015-11-16 14:26:47,460 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
2015-11-16 14:26:47,472 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET foreign_key_checks=0; args=None
2015-11-16 14:26:47,473 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET foreign_key_checks=1; args=None
2015-11-16 14:26:47,474 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2015-11-16 14:26:47,475 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET foreign_key_checks=0; args=None
2015-11-16 14:26:47,475 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET foreign_key_checks=1; args=None
2015-11-16 14:26:47,570 [MainThread:140326897805056] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); (params None)
2015-11-16 14:26:47,571 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2015-11-16 14:26:47,782 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.211) CREATE TABLE `django_content_type` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(100) NOT NULL, `app_label` varchar(100) NOT NULL, `model` varchar(100) NOT NULL); args=None
2015-11-16 14:26:47,783 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'django_content_type'; args=['django_content_type']
2015-11-16 14:26:47,784 [MainThread:140326897805056] [django.db.backends.schema:102] [schema:execute] [DEBUG]- ALTER TABLE `django_content_type` ADD CONSTRAINT `django_content_type_app_label_5bf69ad33e29400e_uniq` UNIQUE (`app_label`, `model`); (params [])
2015-11-16 14:26:47,969 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.184) ALTER TABLE `django_content_type` ADD CONSTRAINT `django_content_type_app_label_5bf69ad33e29400e_uniq` UNIQUE (`app_label`, `model`); args=[]
2015-11-16 14:26:47,969 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
2015-11-16 14:26:47,970 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) INSERT INTO `django_migrations` (`app`, `name`, `applied`) VALUES ('contenttypes', '0001_initial', '2015-11-16 06:26:47'); args=['contenttypes', '0001_initial', '2015-11-16 06:26:47']
2015-11-16 14:26:47,996 [MainThread:140326897805056] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE TABLE `auth_permission` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(50) NOT NULL, `content_type_id` integer NOT NULL, `codename` varchar(100) NOT NULL, UNIQUE (`content_type_id`, `codename`)); (params None)
2015-11-16 14:26:48,205 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.209) CREATE TABLE `auth_permission` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(50) NOT NULL, `content_type_id` integer NOT NULL, `codename` varchar(100) NOT NULL, UNIQUE (`content_type_id`, `codename`)); args=None
2015-11-16 14:26:48,206 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_permission'; args=['auth_permission']
2015-11-16 14:26:48,209 [MainThread:140326897805056] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE TABLE `auth_group` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(80) NOT NULL UNIQUE); (params None)
2015-11-16 14:26:48,475 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.266) CREATE TABLE `auth_group` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `name` varchar(80) NOT NULL UNIQUE); args=None
2015-11-16 14:26:48,476 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_group'; args=['auth_group']
2015-11-16 14:26:48,476 [MainThread:140326897805056] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE TABLE `auth_group_permissions` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `group_id` integer NOT NULL, `permission_id` integer NOT NULL, UNIQUE (`group_id`, `permission_id`)); (params None)
2015-11-16 14:26:48,688 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.212) CREATE TABLE `auth_group_permissions` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `group_id` integer NOT NULL, `permission_id` integer NOT NULL, UNIQUE (`group_id`, `permission_id`)); args=None
2015-11-16 14:26:48,689 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_group_permissions'; args=['auth_group_permissions']
2015-11-16 14:26:48,695 [MainThread:140326897805056] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE TABLE `auth_user` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `password` varchar(128) NOT NULL, `last_login` datetime NOT NULL, `is_superuser` bool NOT NULL, `username` varchar(30) NOT NULL UNIQUE, `first_name` varchar(30) NOT NULL, `last_name` varchar(30) NOT NULL, `email` varchar(75) NOT NULL, `is_staff` bool NOT NULL, `is_active` bool NOT NULL, `date_joined` datetime NOT NULL); (params None)
2015-11-16 14:26:48,916 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.220) CREATE TABLE `auth_user` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `password` varchar(128) NOT NULL, `last_login` datetime NOT NULL, `is_superuser` bool NOT NULL, `username` varchar(30) NOT NULL UNIQUE, `first_name` varchar(30) NOT NULL, `last_name` varchar(30) NOT NULL, `email` varchar(75) NOT NULL, `is_staff` bool NOT NULL, `is_active` bool NOT NULL, `date_joined` datetime NOT NULL); args=None
2015-11-16 14:26:48,916 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_user'; args=['auth_user']
2015-11-16 14:26:48,917 [MainThread:140326897805056] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE TABLE `auth_user_groups` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `user_id` integer NOT NULL, `group_id` integer NOT NULL, UNIQUE (`user_id`, `group_id`)); (params None)
2015-11-16 14:26:49,141 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.224) CREATE TABLE `auth_user_groups` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `user_id` integer NOT NULL, `group_id` integer NOT NULL, UNIQUE (`user_id`, `group_id`)); args=None
2015-11-16 14:26:49,141 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_user_groups'; args=['auth_user_groups']
2015-11-16 14:26:49,142 [MainThread:140326897805056] [django.db.backends.schema:102] [schema:execute] [DEBUG]- CREATE TABLE `auth_user_user_permissions` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `user_id` integer NOT NULL, `permission_id` integer NOT NULL, UNIQUE (`user_id`, `permission_id`)); (params None)
2015-11-16 14:26:49,393 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.252) CREATE TABLE `auth_user_user_permissions` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `user_id` integer NOT NULL, `permission_id` integer NOT NULL, UNIQUE (`user_id`, `permission_id`)); args=None
2015-11-16 14:26:49,394 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'auth_user_user_permissions'; args=['auth_user_user_permissions']
2015-11-16 14:26:49,394 [MainThread:140326897805056] [django.db.backends.schema:102] [schema:execute] [DEBUG]- ALTER TABLE `auth_permission` ADD CONSTRAINT `auth_p_content_type_id_d983c17bc41df1d_fk_django_content_type_id` FOREIGN KEY (`content_type_id`) REFERENCES `django_content_type` (`id`); (params [])
2015-11-16 14:26:49,926 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.531) ALTER TABLE `auth_permission` ADD CONSTRAINT `auth_p_content_type_id_d983c17bc41df1d_fk_django_content_type_id` FOREIGN KEY (`content_type_id`) REFERENCES `django_content_type` (`id`); args=[]
2015-11-16 14:26:49,926 [MainThread:140326897805056] [django.db.backends.schema:102] [schema:execute] [DEBUG]- ALTER TABLE `auth_group_permissions` ADD CONSTRAINT `auth_group_permission_group_id_770c2e567611a524_fk_auth_group_id` FOREIGN KEY (`group_id`) REFERENCES `auth_group` (`id`); (params [])
2015-11-16 14:26:50,419 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.493) ALTER TABLE `auth_group_permissions` ADD CONSTRAINT `auth_group_permission_group_id_770c2e567611a524_fk_auth_group_id` FOREIGN KEY (`group_id`) REFERENCES `auth_group` (`id`); args=[]
2015-11-16 14:26:50,420 [MainThread:140326897805056] [django.db.backends.schema:102] [schema:execute] [DEBUG]- ALTER TABLE `auth_group_permissions` ADD CONSTRAINT `auth_group_p_permission_id_c64182084749982_fk_auth_permission_id` FOREIGN KEY (`permission_id`) REFERENCES `auth_permission` (`id`); (params [])
2015-11-16 14:26:50,911 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.492) ALTER TABLE `auth_group_permissions` ADD CONSTRAINT `auth_group_p_permission_id_c64182084749982_fk_auth_permission_id` FOREIGN KEY (`permission_id`) REFERENCES `auth_permission` (`id`); args=[]
2015-11-16 14:26:50,911 [MainThread:140326897805056] [django.db.backends.schema:102] [schema:execute] [DEBUG]- ALTER TABLE `auth_user_groups` ADD CONSTRAINT `auth_user_groups_user_id_b903e565c10e0d8_fk_auth_user_id` FOREIGN KEY (`user_id`) REFERENCES `auth_user` (`id`); (params [])
2015-11-16 14:26:51,439 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.528) ALTER TABLE `auth_user_groups` ADD CONSTRAINT `auth_user_groups_user_id_b903e565c10e0d8_fk_auth_user_id` FOREIGN KEY (`user_id`) REFERENCES `auth_user` (`id`); args=[]
2015-11-16 14:26:51,440 [MainThread:140326897805056] [django.db.backends.schema:102] [schema:execute] [DEBUG]- ALTER TABLE `auth_user_groups` ADD CONSTRAINT `auth_user_groups_group_id_77ebfac89c2c59a3_fk_auth_group_id` FOREIGN KEY (`group_id`) REFERENCES `auth_group` (`id`); (params [])
2015-11-16 14:26:51,901 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.461) ALTER TABLE `auth_user_groups` ADD CONSTRAINT `auth_user_groups_group_id_77ebfac89c2c59a3_fk_auth_group_id` FOREIGN KEY (`group_id`) REFERENCES `auth_group` (`id`); args=[]
2015-11-16 14:26:51,901 [MainThread:140326897805056] [django.db.backends.schema:102] [schema:execute] [DEBUG]- ALTER TABLE `auth_user_user_permissions` ADD CONSTRAINT `auth_user_user_permissio_user_id_98cde648e606e8c_fk_auth_user_id` FOREIGN KEY (`user_id`) REFERENCES `auth_user` (`id`); (params [])
2015-11-16 14:26:52,337 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.436) ALTER TABLE `auth_user_user_permissions` ADD CONSTRAINT `auth_user_user_permissio_user_id_98cde648e606e8c_fk_auth_user_id` FOREIGN KEY (`user_id`) REFERENCES `auth_user` (`id`); args=[]
2015-11-16 14:26:52,338 [MainThread:140326897805056] [django.db.backends.schema:102] [schema:execute] [DEBUG]- ALTER TABLE `auth_user_user_permissions` ADD CONSTRAINT `auth_user_u_permission_id_699cfba7c96a8363_fk_auth_permission_id` FOREIGN KEY (`permission_id`) REFERENCES `auth_permission` (`id`); (params [])
2015-11-16 14:26:52,850 [MainThread:140326897805056] [django.db.backends:89] [utils:execute] [DEBUG]- (0.512) ALTER TABLE `auth_user_user_permissions` ADD CONSTRAINT `auth_user_u_permission_id_699cfba7c96a8363_fk_auth_permission_id` FOREIGN KEY (`permission_id`) REFERENCES `auth_permission` (`id`); args=[]
